brand,we,lamoda,WB,OZON,ЯМ
18CRR81 CERRUTI,нет,нет,да,нет,
3 Pommes,нет,нет,да,нет,
3x1,да,,нет,нет,
7 for all mankind,да,нет,да,нет,
A.Testoni,нет,да,нет,нет,
ABEL & LULA,нет,нет,нет,да,
Abercrombie&Fitch,нет,нет,нет,да,
ABSORBA,да,нет,да,нет,
Add,да,да,да,да,
Aden+anais,да,нет,нет,да,
adidas,да,нет,нет,да,
adidas Originals,да,нет,нет,да,
Aeronautica Militare,нет,да,нет,нет,
aeros me,нет,нет,да,нет,
Affex,нет,нет,нет,да,
AG,нет,нет,нет,да,
Ahava,нет,да,нет,нет,
AI RIDERS ON THE STORM,да,нет,нет,да,
Aigner,нет,нет,да,нет,
AJAY by LIU JO,нет,нет,нет,да,
AKHMADULLINA DREAMS,нет,нет,нет,да,
Akris Punto,да,да,нет,нет,
Alberta Ferretti,да,да,нет,да,
Alberto Guardiani,нет,да,нет,нет,
Aldo Brue,нет,да,да,нет,
Alessandro Dell'Acqua,нет,да,нет,нет,
Alessandro Manzoni,нет,да,нет,нет,
Alessandro Manzoni Jeans,нет,да,нет,нет,
Aletta,да,нет,нет,да,
AlexaChung,нет,да,нет,нет,
Alexander McQueen,да,да,нет,нет,
Alexander Terekhov,нет,нет,#N/A,да,
ALEXANDER WANG,да,нет,#N/A,да,
Alice + Olivia,нет,да,нет,нет,
AllSaints,нет,да,нет,нет,
Alpha Studio,нет,да,#N/A,#N/A,
AM-66,нет,нет,#N/A,да,
ANDORINE,нет,нет,#N/A,да,
Anne Kurris,нет,нет,#N/A,да,
Antony Morato,нет,нет,да,да,
APART,нет,нет,да,#N/A,
APEPAZZA,нет,нет,да,#N/A,
Arch4,нет,да,нет,нет,
Arctiline,да,нет,#N/A,да,
Armani Collection,нет,нет,#N/A,да,
Armani Collezione,нет,нет,#N/A,да,
Armani Exchange,нет,да,да,нет,
Armani Jeans,нет,да,нет,да,
Armani Junior,нет,нет,#N/A,да,
ARMATA DI MARE,нет,нет,да,#N/A,
Arni Praht,да,нет,#N/A,да,
Ash,да,да,да,да,
Ashley Graham x Marina Rinaldi,нет,да,нет,нет,
asics,да,нет,#N/A,да,
Aston Martin Racing by Hackett,нет,да,нет,нет,
ATLANTA MOCASSIN,нет,нет,#N/A,да,
Atlantic stars,#N/A,да,нет,нет,
Atoir,да,да,нет,нет,
Atos Lombardini,#N/A,да,нет,нет,
Attache,#N/A,нет,#N/A,да,
ATTIC21,#N/A,нет,#N/A,да,
Aubade,#N/A,да,нет,нет,
Australian,#N/A,нет,да,#N/A,
Automobili Lamborghini,#N/A,да,да,нет,
B,#N/A,да,нет,нет,
Ba&Sh,да,да,нет,нет,
Bacon,да,да,нет,нет,
BALDESSARINI,#N/A,нет,да,#N/A,
Baldinini,да,да,да,нет,
Ballin,#N/A,да,нет,нет,
Bally,да,да,нет,нет,
Balmain,да,да,нет,да,
Balmuir,#N/A,да,нет,нет,
Barbara Bui,да,да,да,нет,
Barleycorn,#N/A,нет,да,#N/A,
Barracuda,да,да,да,нет,
BCBGMaxAzria,да,да,нет,нет,
Be Blumarine,#N/A,да,да,да,
Beach Bunny,#N/A,да,нет,нет,
Beatrice.B,#N/A,да,нет,нет,
Belle you,#N/A,нет,#N/A,да,
Belstaff,да,да,нет,нет,
Ben Sherman,да,да,#N/A,#N/A,
BETTY & CO,#N/A,нет,да,#N/A,
Betty Barclay,#N/A,нет,да,#N/A,
BIANCA,#N/A,нет,да,#N/A,
BIBI LOU,да,нет,да,#N/A,
Bikkembergs,да,да,да,да,
Bimba Y Lola,#N/A,да,нет,нет,
Birkenstock,да,нет,#N/A,да,
Blauer,да,да,да,да,
Blauer USA,#N/A,да,нет,нет,
BLONDE NO. 8,#N/A,нет,да,#N/A,
Blouson,#N/A,да,нет,нет,
Blugirl,#N/A,да,нет,да,
Blugirl Folies,#N/A,да,нет,нет,
Blumarine,да,да,да,нет,
Bogner,да,нет,#N/A,да,
Bogner Fire+Ice,#N/A,да,нет,нет,
BOSCO,#N/A,нет,да,#N/A,
Bosideng,#N/A,да,нет,нет,
Boss,да,да,да,нет,
Boss Orange,#N/A,нет,#N/A,да,
Bottega Veneta,да,нет,да,#N/A,
Botticelli,#N/A,да,нет,нет,
Boutique Moschino,#N/A,да,нет,нет,
Boyish,да,нет,#N/A,да,
Braccialini,да,да,да,нет,
Brave Soul,да,нет,#N/A,да,
Brian Dales,#N/A,да,#N/A,нет,
Bronx,да,нет,#N/A,да,
Brunello Cucinelli,да,да,#N/A,#N/A,
Bruno Banani,#N/A,нет,да,#N/A,
Buffalo,да,нет,да,да,
bugatti,#N/A,нет,да,#N/A,
Burberry,да,да,да,#N/A,
Burton,да,нет,#N/A,да,
Bvlgari,#N/A,да,#N/A,#N/A,
By Byblos,#N/A,да,#N/A,#N/A,
By Malene Birger,да,да,#N/A,#N/A,
Byblos,#N/A,да,#N/A,#N/A,
Byblos Boys&Girls,#N/A,нет,да,#N/A,
C.P. Company,да,да,#N/A,#N/A,
Cacharel,#N/A,нет,да,#N/A,
CAFeNOIR,#N/A,нет,да,#N/A,
Calvin Klein,да,да,да,да,
Calvin Klein Jeans,да,нет,#N/A,да,
Calvin Klein Performance,#N/A,да,да,да,
Calvin Klein Underwear,да,нет,#N/A,да,
Calvin Klein Underwear,да,нет,#N/A,да,
Canada Goose,да,нет,#N/A,да,
Canadian,#N/A,да,#N/A,#N/A,
CANOE PREMIUM,#N/A,нет,да,#N/A,
Cappellini,#N/A,да,#N/A,#N/A,
Caractere,#N/A,нет,да,#N/A,
Carandache,#N/A,да,#N/A,#N/A,
Carlo Pazzolini,#N/A,нет,#N/A,да,
CARLO VISINTINI,#N/A,нет,да,#N/A,
Carolina Herrera,да,да,да,#N/A,
Carven,да,да,#N/A,#N/A,
Casadei,да,да,#N/A,#N/A,
Castaner,да,да,#N/A,#N/A,
Catimini,да,да,да,#N/A,
Cavalli Class,#N/A,да,да,#N/A,
CC Collection Corneliani,#N/A,да,#N/A,#N/A,
Cerruti 1881,,да,да,#N/A,
Certina,#N/A,да,#N/A,#N/A,
Cerutti,#N/A,нет,#N/A,да,
Cesare Paciotti,да,нет,#N/A,да,
Champion,да,нет,#N/A,да,
Chantal Thomass,#N/A,да,#N/A,#N/A,
Chantelle,#N/A,да,#N/A,да,
Chiara Ferragni,да,да,да,#N/A,
Chiara Ferragni Collection,#N/A,да,#N/A,#N/A,
Chicco,#N/A,нет,#N/A,да,
Chloe,да,да,#N/A,#N/A,
Chloer,#N/A,нет,#N/A,да,
Christian Dior,да,да,да,#N/A,
Christian Dior Homme,#N/A,да,#N/A,#N/A,
CIERTO,#N/A,нет,#N/A,да,
CK Performance,#N/A,нет,да,#N/A,
Clarins,#N/A,нет,да,#N/A,
Claudie Pierlot,да,да,#N/A,#N/A,
